ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
12885A,UnitedKingdom,0.005,0,0,0,0,0,0.995,0,1165
NO3423,UnitedKingdom,0.126,0.101,0.007,0.089,0.025,0.032,0.613,0.005,1170
RISE568,CzechRepublic,0,0,0.011,0.067,0.228,0.014,0.672,0.008,1200
12881A,UnitedKingdom,0.044,0.061,0.04,0.052,0,0.007,0.77,0.025,1232
RISE569,CzechRepublic,0,0.06,0.077,0.042,0,0.038,0.774,0.009,1235
12883A,UnitedKingdom,0.006,0.001,0.018,0.022,0,0.001,0.943,0.008,1247
SZ43,Hungary,0,0,0,0,0,0,1,0,1415
RISE174,Sweden,0.17,0.155,0.008,0.113,0.021,0.097,0.428,0.01,1431
15558A,UnitedKingdom,0.002,0.001,0.003,0,0,0.003,0.991,0,1455
15577A,UnitedKingdom,0,0,0.005,0.007,0,0.003,0.981,0.004,1478
15570A,UnitedKingdom,0,0,0.006,0,0,0.003,0.99,0.001,1483
15569A,UnitedKingdom,0.021,0.032,0.032,0.055,0.009,0.004,0.815,0.033,1490
3DRIF16,UnitedKingdom,0.119,0.091,0.005,0.076,0.037,0.031,0.622,0.019,1700
3DRIF26,UnitedKingdom,0.256,0.033,0.054,0.016,0.018,0.093,0.496,0.033,1700
6DRIF18,UnitedKingdom,0.107,0.091,0.024,0.076,0.033,0.026,0.642,0.002,1700
6DRIF21,UnitedKingdom,0.096,0.115,0.032,0.073,0.012,0.03,0.633,0.01,1700
6DRIF22,UnitedKingdom,0.133,0.102,0.017,0.072,0.022,0.027,0.616,0.011,1700
6DRIF23,UnitedKingdom,0.111,0.125,0.008,0.058,0.016,0.023,0.643,0.015,1700
6DRIF3,UnitedKingdom,0.097,0.122,0.026,0.084,0.015,0.027,0.618,0.011,1700
12884A,UnitedKingdom,0.003,0,0.019,0.001,0.001,0.001,0.969,0.006,1995
12880A,UnitedKingdom,0,0.001,0,0.01,0.002,0.002,0.984,0,2017
M1489,UnitedKingdom,0.116,0.118,0.028,0.092,0.017,0.034,0.586,0.01,2035
15579A,UnitedKingdom,0,0,0,0.018,0,0.004,0.978,0,2155
I0247,Russia,0.009,0.401,0.182,0.023,0,0.002,0.293,0.09,2239
I0562,Kazakhstan,0.031,0.174,0.055,0.051,0,0.018,0.252,0.419,2250
I0563,Kazakhstan,0.029,0.162,0.052,0.044,0.003,0.017,0.208,0.487,2250
I0574,Russia,0.069,0.213,0.083,0.064,0.046,0.02,0.407,0.097,2250
I0575,Russia,0.07,0.248,0.057,0.075,0.013,0.01,0.429,0.099,2250
